"","Condition","Hemisphere","subID","Task","Skill","P_Avg","TP_Avg"
"157","G","Right","P21","N","E",-0.132480606679239,0.22406324144042
"158","G","Right","P21","V","E",-0.247675391137553,0.245791098531217
"159","G","Right","P22","N","E",-0.326462398580374,-0.360308977776764
"160","G","Right","P22","V","E",-0.48917251298496,-0.380856911033069
"161","G","Right","P23","N","E",-0.270374810199321,-0.663617717394328
"162","G","Right","P23","V","E",-0.311624232526022,-0.605888063859117
"163","G","Right","P24","N","N",-0.269425884356614,-0.372906607042838
"164","G","Right","P24","V","N",-0.585800380936321,-0.545091817544517
"165","G","Right","P25","N","E",-0.963351909430803,-0.555168179650593
"166","G","Right","P25","V","E",-1.12488933327846,-0.605505322375789
"167","G","Right","P26","N","N",-0.377357574259757,-0.803801657258745
"168","G","Right","P26","V","N",-0.697353911732302,-0.943709211245828
"169","G","Right","P27","N","N",-0.307328946113017,-0.059401337187206
"170","G","Right","P27","V","N",-0.252745535215685,-0.0151415396241396
"171","G","Right","P28","N","N",-0.291412679332445,-0.784623251834553
"172","G","Right","P28","V","N",-0.298379646375792,-0.729218323099067
"173","G","Right","P29","N","E",-0.52405398327279,-0.602575787801544
"174","G","Right","P29","V","E",-0.636585251696367,-0.578193799979621
"175","G","Right","P30","N","E",-0.688418058766615,-0.391066384767529
"176","G","Right","P30","V","E",-0.669177266030796,-0.382923346971173
"177","G","Right","P31","N","E",-1.0151599260064,-1.40193103623319
"178","G","Right","P31","V","E",-1.22846053949469,-1.45456083179636
"179","G","Right","P32","N","N",-0.0499053911921679,-0.295864303636626
"180","G","Right","P32","V","N",-0.138494942386858,-0.196911171360469
"181","G","Right","P33","N","E",-0.214067021531252,0.735148711356787
"182","G","Right","P33","V","E",-0.0320815050462574,1.02131130332205
"183","L","Left","P01","N","N",-0.370623546852208,-1.37188447692238
"184","L","Left","P01","V","N",-0.494312074603304,-1.32994481598627
"185","L","Left","P02","N","N",-0.0943408113150055,-1.57185489772567
"186","L","Left","P02","V","N",-0.00560148011822615,-1.48971038911316
"187","L","Left","P03","N","N",0.0179115805909419,-0.985060140039768
"188","L","Left","P03","V","N",-0.0177874588427705,-0.974139347254863
"189","L","Left","P04","N","E",0.354222150422805,-0.239655818305931
"190","L","Left","P04","V","E",0.275633582571306,-0.332654231877174
"191","L","Left","P05","N","E",-0.143041947770448,-1.18510227131588
"192","L","Left","P05","V","E",-0.305809982740854,-1.23895289757696
"193","L","Left","P06","N","N",-0.310866854867588,-1.3351743241409
"194","L","Left","P06","V","N",-0.232838578722038,-1.17467608667066
"195","L","Left","P07","N","E",-0.280168741133386,-1.04296401280146
"196","L","Left","P07","V","E",-0.283211922927699,-1.00390300680578
"197","L","Left","P08","N","E",-0.207822439391889,-0.703732731456767
"198","L","Left","P08","V","E",-0.213179364428902,-0.70824736388936
"199","L","Left","P10","N","N",-0.340575618306245,-1.14349940948863
"200","L","Left","P10","V","N",-0.373232716529975,-1.19521560183563
"201","L","Left","P12","N","N",0.295640688705453,-0.746057052644934
"202","L","Left","P12","V","N",0.324431945964397,-0.719872700801118
"203","L","Left","P13","N","E",-0.175056236405426,-1.2800442177065
"204","L","Left","P13","V","E",-0.16260916185649,-1.14800674430718
"205","L","Left","P14","N","N",-0.305241149925335,-1.04402943955465
"206","L","Left","P14","V","N",-0.399261948750467,-1.05187159323852
"207","L","Left","P15","N","E",-0.170187570795125,-0.706448900834234
"208","L","Left","P15","V","E",-0.163640492963621,-0.650666611544983
"209","L","Left","P16","N","N",0.204732620896229,-1.11560211586133
"210","L","Left","P16","V","N",0.191902961080046,-1.06612852746835
"211","L","Left","P17","N","N",-0.26377745351192,-1.12598393288697
"212","L","Left","P17","V","N",-0.319847901178774,-1.13467258011813
"213","L","Left","P18","N","N",-0.336463729301978,-0.897851110487697
"214","L","Left","P18","V","N",-0.245514584346533,-0.798457759882383
"215","L","Left","P19","N","N",-0.0655754155829569,-1.10331321787658
"216","L","Left","P19","V","N",-0.158279883363163,-1.18838732439054
"217","L","Left","P20","N","E",-0.262614535667273,-1.28159321206983
"218","L","Left","P20","V","E",-0.392714631410643,-1.23052741488552
"219","L","Left","P21","N","E",0.16932218505304,-0.506233418348155
"220","L","Left","P21","V","E",0.121937878777609,-0.499454768948268
"221","L","Left","P22","N","E",-0.211861231170078,-1.04471487705045
"222","L","Left","P22","V","E",-0.177027241416322,-1.02560662415614
"223","L","Left","P23","N","E",-0.404436528393365,-1.5202892691546
"224","L","Left","P23","V","E",-0.372191678441176,-1.4599542712435
"225","L","Left","P24","N","N",-0.402254297609267,-1.00804562378785
"226","L","Left","P24","V","N",-0.423359617900744,-0.934600137805949
"227","L","Left","P25","N","E",-0.193034804640917,-1.40867476582604
"228","L","Left","P25","V","E",-0.355102819790084,-1.4114262545282
"229","L","Left","P26","N","N",-0.476245666261643,-1.44399890684736
"230","L","Left","P26","V","N",-0.610390166818291,-1.56003429297575
"231","L","Left","P27","N","N",0.128537013548907,-1.33577489648999
"232","L","Left","P27","V","N",0.203949362895015,-1.31112746021171
"233","L","Left","P28","N","N",-0.163478622487115,-1.35671721124466
"234","L","Left","P28","V","N",-0.068632035152675,-1.16664317190645
"235","L","Left","P29","N","E",-0.345579896845633,-1.27284141650117
"236","L","Left","P29","V","E",-0.408524696341724,-1.21562823476503
"237","L","Left","P30","N","E",-0.0865062245015764,-1.41142882699136
"238","L","Left","P30","V","E",-0.0376352391257261,-1.24081062133683
"239","L","Left","P31","N","E",-0.222117940466996,-1.17803151836832
"240","L","Left","P31","V","E",-0.307072577168731,-1.15059662346695
"241","L","Left","P32","N","N",0.217191570328283,-1.279458064903
"242","L","Left","P32","V","N",0.271155346023139,-1.23219529604298
"243","L","Left","P33","N","E",0.441168504278693,-0.791760897468142
"244","L","Left","P33","V","E",0.437330938208548,-0.719834982400753
"245","L","Right","P01","N","N",-0.376938651155384,-0.683735599720176
"246","L","Right","P01","V","N",-0.45174022411628,-0.612916682243264
"247","L","Right","P02","N","N",-0.432841386491576,-0.312438550133637
"248","L","Right","P02","V","N",-0.39218992327935,-0.28036846390646
"249","L","Right","P03","N","N",-0.554572909569495,0.065215396954425
"250","L","Right","P03","V","N",-0.588988342328975,0.0670614164300899
"251","L","Right","P04","N","E",-0.36167829661651,-0.742668668068127
"252","L","Right","P04","V","E",-0.353856482485827,-0.690054535078034
"253","L","Right","P05","N","E",-0.0607137543923372,0.14284898070809
"254","L","Right","P05","V","E",-0.301423744211212,-0.0854410841333165
"255","L","Right","P06","N","N",-0.185474565215382,-0.437291937646201
"256","L","Right","P06","V","N",-0.143921270259523,-0.358844241898704
"257","L","Right","P07","N","E",-0.267897189245026,-0.0893681250681329
"258","L","Right","P07","V","E",-0.280595371695831,-0.0236626475672417
"259","L","Right","P08","N","E",-0.512703266110135,-0.303663758242777
"260","L","Right","P08","V","E",-0.550093219749449,-0.287833119870333
"261","L","Right","P10","N","N",-0.442626840952309,-0.710384355953375
"262","L","Right","P10","V","N",-0.535479052486592,-0.781866841575122
"263","L","Right","P12","N","N",0.103721909914923,-0.33543373519114
"264","L","Right","P12","V","N",0.137753455137217,-0.282499540870521
"265","L","Right","P13","N","E",-0.25448390490294,-0.608620132516737
"266","L","Right","P13","V","E",-0.250887609329926,-0.450490086408041
"267","L","Right","P14","N","N",-0.0854507382286936,0.525495938403385
"268","L","Right","P14","V","N",-0.0963148447618126,0.560089989125227
"269","L","Right","P15","N","E",-0.435509143766051,0.0318900388625354
"270","L","Right","P15","V","E",-0.404084675089485,0.0844139600607026
"271","L","Right","P16","N","N",-0.0763046117777313,-0.360043786147056
"272","L","Right","P16","V","N",-0.0116535263437756,-0.27851709615049
"273","L","Right","P17","N","N",-0.419330735378739,-1.49621378624857
"274","L","Right","P17","V","N",-0.55061049786942,-1.51855793737262
"275","L","Right","P18","N","N",-0.121410412377513,-0.79630271933502
"276","L","Right","P18","V","N",-0.0379257192362046,-0.69368028649494
"277","L","Right","P19","N","N",-0.180872584278678,-0.611631831791849
"278","L","Right","P19","V","N",-0.392415542262569,-0.687580856741201
"279","L","Right","P20","N","E",-0.747689601950712,-0.595056839543839
"280","L","Right","P20","V","E",-0.810169465399265,-0.560834332178697
"281","L","Right","P21","N","E",-0.203325755983378,0.312271156360905
"282","L","Right","P21","V","E",-0.281420406990271,0.277548540402211
"283","L","Right","P22","N","E",-0.321546845878085,-0.382029575511486
"284","L","Right","P22","V","E",-0.380110361261253,-0.321487400408526
"285","L","Right","P23","N","E",-0.372316078611053,-0.724479786853158
"286","L","Right","P23","V","E",-0.369433047178617,-0.667311376598142
"287","L","Right","P24","N","N",-0.538055833052342,-0.606448098771165
"288","L","Right","P24","V","N",-0.59184075376894,-0.607626029058186
"289","L","Right","P25","N","E",-0.92969615674807,-0.665527520820774
"290","L","Right","P25","V","E",-1.1511273479757,-0.730502778944126
"291","L","Right","P26","N","N",-0.629372165772442,-0.955486444466471
"292","L","Right","P26","V","N",-0.684344949759197,-0.980673518647596
"293","L","Right","P27","N","N",-0.313394837424801,0.053475435904974
"294","L","Right","P27","V","N",-0.227524482723815,0.0997785403534515
"295","L","Right","P28","N","N",-0.40665131458976,-0.902861542251935
"296","L","Right","P28","V","N",-0.307663252984635,-0.775301318521172
"297","L","Right","P29","N","E",-0.49690944856642,-0.500501638268101
"298","L","Right","P29","V","E",-0.62913904743502,-0.484799642214733
"299","L","Right","P30","N","E",-0.759381438432208,-0.428673581727001
"300","L","Right","P30","V","E",-0.689152299196276,-0.367928020839676
"301","L","Right","P31","N","E",-1.06390166483248,-1.22821369354689
"302","L","Right","P31","V","E",-1.17406315730291,-1.25978794243671
"303","L","Right","P32","N","N",-0.113504517548986,-0.159614987177774
"304","L","Right","P32","V","N",-0.0806435083441397,-0.140066571003347
"305","L","Right","P33","N","E",-0.197203975229528,0.653836800994089
"306","L","Right","P33","V","E",-0.182447622576849,0.673363100403256
