"","Condition","Hemisphere","subID","Task","Skill","P_Avg","TP_Avg"
"150","G","Right","P16","V","N",-0.0402785258221676,-0.673177600228232
"151","G","Right","P17","N","N",-0.200861908548024,-1.11399909828338
"152","G","Right","P17","V","N",-0.659874445343737,-1.16470476742817
"153","G","Right","P18","N","N",-0.424934124164945,-1.27900014073761
"154","G","Right","P18","V","N",-0.726211850639917,-1.20812801756271
"155","G","Right","P20","N","E",-1.01078185628901,-1.38198701694145
"156","G","Right","P20","V","E",-1.21144133924386,-1.53273112989231
"157","G","Right","P21","N","E",-0.490737820998412,-0.451887345034414
"158","G","Right","P21","V","E",-0.403297744817439,-0.416954050933033
"159","G","Right","P22","N","E",-0.780143874182741,-1.31933468873805
"160","G","Right","P22","V","E",-1.14627602625118,-1.39367430485048
"161","G","Right","P23","N","E",-0.462827916826641,-1.09231082959116
"162","G","Right","P23","V","E",-0.517861731575509,-0.974340258299276
"163","G","Right","P24","N","N",-0.755553135088961,-1.18938582318528
"164","G","Right","P24","V","N",-0.872565372328389,-1.18342203442355
"165","G","Right","P25","N","E",-1.08978592843063,-0.974587999364938
"166","G","Right","P25","V","E",-1.17747594485483,-0.940147878336575
"167","G","Right","P26","N","N",-0.654784705637854,-1.33299552763722
"168","G","Right","P26","V","N",-0.971097105442376,-1.51060145285471
"169","G","Right","P27","N","N",-0.266093375739443,-0.225169638402712
"170","G","Right","P27","V","N",-0.258116548857778,-0.209965315119283
"171","G","Right","P28","N","N",-0.247722277579634,-0.910753726354623
"172","G","Right","P28","V","N",-0.321358791401563,-1.1079826312244
"173","G","Right","P29","N","E",-1.0323303575187,-1.20369176466681
"174","G","Right","P29","V","E",-1.09989299750183,-1.07660465598664
"175","G","Right","P30","N","E",-0.869073566270691,-0.155156474514866
"176","G","Right","P30","V","E",-0.905083491321416,-0.183489945486173
"177","G","Right","P31","N","E",-0.703379574065868,-1.26325853105959
"178","G","Right","P31","V","E",-0.850406330237634,-1.31371688037422
"179","G","Right","P32","N","N",-0.268031012057395,-0.318927046116388
"180","G","Right","P32","V","N",-0.176685205292926,-0.200186300990231
"181","G","Right","P33","N","E",-0.210775036162609,0.3607272263382
"182","G","Right","P33","V","E",-0.152176040917697,0.550994201282571
"183","L","Left","P01","N","N",-0.259024328599809,-0.820798817161933
"184","L","Left","P01","V","N",-0.573735783639751,-0.768652186288179
"185","L","Left","P02","N","N",-0.205846306853342,-0.946718356761074
"186","L","Left","P02","V","N",-0.203380885222112,-0.898544162758989
