"","Condition","Hemisphere","subID","Task","Skill","P_Avg","TP_Avg"
"279","L","Right","P20","N","E",0.144482518161486,0.741043104990674
"280","L","Right","P20","V","E",0.300482430122999,0.889925979024663
"281","L","Right","P21","N","E",0.100446286095751,0.611066516016788
"282","L","Right","P21","V","E",0.14793873143484,0.637090181892233
"283","L","Right","P22","N","E",0.238794656394753,0.800016380913668
"284","L","Right","P22","V","E",0.663224844165991,0.988820506615383
"285","L","Right","P23","N","E",-0.00287913065741985,0.288458589192829
"286","L","Right","P23","V","E",0.166486738390254,0.336994246653055
"287","L","Right","P24","N","N",-0.0635024255058655,0.376428309641384
"288","L","Right","P24","V","N",0.195533667945878,0.480340880886162
"289","L","Right","P25","N","E",-0.342386010431891,0.155662366529401
"290","L","Right","P25","V","E",0.0167792546184802,0.227152458145891
"291","L","Right","P26","N","N",0.0787937707608312,0.345226334988304
"292","L","Right","P26","V","N",0.279518217198508,0.524189847815055
"293","L","Right","P27","N","N",0.0364967409520338,0.378672060079601
"294","L","Right","P27","V","N",0.115561066971271,0.372087638121747
"295","L","Right","P28","N","N",-0.119207794498972,0.156138677507599
"296","L","Right","P28","V","N",0.0140935193286217,0.336038550026355
"297","L","Right","P29","N","E",-0.00926974370912192,0.281298779675883
"298","L","Right","P29","V","E",0.458377902889531,0.580660333328176
"299","L","Right","P30","N","E",0.0868340575873017,-0.190143260602405
"300","L","Right","P30","V","E",0.229093610105378,-0.20779365351005
"301","L","Right","P31","N","E",-0.529432976089071,-0.121936797873646
"302","L","Right","P31","V","E",-0.380717693566263,0.00573524480471899
"303","L","Right","P32","N","N",0.010996797021556,0.0254711125070325
"304","L","Right","P32","V","N",0.0960092736112218,0.00778072710493011
"305","L","Right","P33","N","E",-0.00673011417260902,0.417424100791339
"306","L","Right","P33","V","E",0.0154653510070606,0.405268006832622
